id,question,A,B,C,D.,answer,category
47,"A seguinte informação é a lista de processos em execução listada por um sistema com o comando ps -ef, qual processo está executando o super servidor da Internet, que é responsável por ouvir a conexão nos soquetes da Internet e chamar o servidor apropriado para processar as informações recebidas.",root 1 4.0 0.0 344 204? S 17:09 0:00 init,root 2 0.0 0.1 2916 1520? S 17:09 0:00 /sbin/getty,root 3 0.0 0.2 1364 632? S 17:09 0:00 /usr/sbin/syslogd,root 4 0.0 1344 1204? S 17:09 0:10 /usr/sbin/inetd,C,Software architecture
48,"De acordo com a análise da organização de pesquisa de mercado GartnerGroup sobre as causas de falhas de parada não planejadas, as falhas que causam paradas não planejadas são divididas em três categorias. Qual das seguintes opções não pertence às três categorias definidas por ele?",failure technical,application failure,operational failure,catastrophic failures such as earthquakes,A,Middleware
49,"No modelo TCP/IP, a camada de aplicação inclui todos os protocolos de alto nível. Entre os seguintes protocolos de aplicação, qual é a capacidade de transferir arquivos entre hosts locais e remotos?",telnet,FTP,SNMP,NFS,B,Application
50,"Quando não conseguimos nos conectar a uma rede remota, precisamos rastrear o caminho para ver onde o problema ocorre na rede. O comando para atender a este propósito é:",ping,ifconfig,traceroute,netstat,B,Application
51,"Se o arquivo chamado fido for modificado com chmod 551 fido, sua permissão é:",#NAME?,#NAME?,#NAME?,-r-xr-x--x,A,Operating system
52,"Uma empresa de comércio eletrônico usa um sistema de informação para gerenciar produtos e pedidos, então que tipo de sistema o sistema deve ser?",job-oriented system,Systems for Management Control,Decision Planning Oriented System,Data Aggregation Oriented Systems,A,Operating system
53,"Use the ls -al command to list the following file list, which file is a symbolic link file.",-rw-rw-rw- 2 hel-s users 56 Sep 09 11:05 hello,-rwxrwxrwx 2 hel-s users 56 Sep 09 11:05 goodbey,drwxr-r- 1 hel users 1024 Sep 10 08:10 zhang,lrwxr-r- 1 hel users 2024 Sep 12 08:12 cheng,B,Middleware
54,Qual comando o sistema Linux usa para enviar mensagens para outros usuários.,less,mesg,write,echo to,D.,Middleware
55,O que é o sistema NFS.,document,disk,network file,operate,B,Middleware
56,Qual comando pode completar o backup de arquivos em fita no sistema de segurança Linux.,cp,tr,dir,cpio,D.,Middleware
57,"Quando você é um engenheiro de operação e manutenção, você precisa monitorar sua arquitetura de software. Qual dos seguintes ferramentas de código aberto pode fornecer funções de monitoramento e alerta tanto em nível de hardware quanto de software?",Grafana,Logstash,Prometheus,Apache Kafka,A,Information security 
58,"Os arquivos do sistema de arquivos Linux são classificados em diretórios relevantes de acordo com suas funções. Para arquivos de dispositivos externos, em que diretório eles devem ser colocados?",/bin,/etc,/dev, /lib,A,Middleware
59,Qual comando deve ser utilizado para escrever as informações na memória para o disco rígido enquanto reinicia o sistema Linux.,# reboot,#halt,# reboot,shutdown –r now,B,Middleware
60,"Em relação à discussão sobre o servidor proxy, a correta é:","Utilizar um servidor proxy público existente na Internet, apenas o cliente precisa ser configurado.",O servidor proxy só pode proxiar solicitações HTTP do cliente.,O servidor proxy configurado pode ser utilizado por qualquer host na rede.,Os clientes que usam servidores proxy não têm seus próprios endereços IP.,C,Middleware
61,"No modo de comando do editor vi, o que você deve digitar para adicionar uma nova linha abaixo da linha onde o cursor está atualmente localizado é:",<a>;, <o>;, <I>;,A,A,Database
62,"No modo de comando do editor vi, qual comando pode ser usado para repetir a última operação no texto editado",up arrow,down arrow,<.>;,<*>;,A,Database
63,"Dentre os seguintes nomes, aqueles que não pertencem ao tipo de servidor DNS são:",Primary Master Server,Secondary Master Server,samba,Cache_only Server,D.,Database
64,"Administradores de rede controlam o acesso ao servidor WWW, controle de acesso e operação, etc., e esses controles podem ser refletidos em que arquivos?",httpd.conf,lilo.conf,inetd.conf,resolv.conf,D.,Database
65,"O agente de reencaminhamento de e-mail também é chamado de servidor de reencaminhamento de e-mail. Ele pode usar o protocolo SMTP, ou que protocolo ele pode usar?",FTP,TCP,UUCP,POP,D.,Database
66,"Há duas maneiras de iniciar o processo do servidor samba: o método de inicialização independente e o método de inicialização de processo pai, onde o primeiro é iniciado como um processo independente em que arquivo.",/usr/sbin/smbd,/usr/sbin/nmbd,rc.samba,/etc/inetd.conf,A,Information security 
67,DHCP é a abreviação de Dynamic Host Configuration Protocol. Sua função é permitir que administradores de rede gerenciem um sistema de rede através de um servidor e atribuam endereços automaticamente a hosts em uma rede.,rede,MAC,TCP,IP,B,Database
68,"Para script de automação, qual dos seguintes idiomas é comumente usado para automatizar a operação de dispositivos de rede?",Python,Java,C#,Swift,B,Infrastructure
69,"Para garantir que o processo DHCP seja iniciado automaticamente quando o servidor é iniciado, o dhcpd=no no arquivo deve ser alterado para dhcpd=yes.",rc.inet1,lilo.conf,inetd.conf,httpd.conf,C,Application
70,O comando para arquivar o arquivo é,dd,cpio,gzip,tar,C,Network 
71,O comando para mudar o proprietário do arquivo é:,chmod,touch,chown,cat,B,Network 
72,O comando para encontrar uma string que corresponda à condição definida em um arquivo especificado é:,grep,gzip,find,sort,C,Network 
73,O comando que pode ser usado para criar um novo arquivo é:,chmod,more,cp,touch,B,Network 
74,"Dentre os comandos a seguir, o comando que não pode exibir o conteúdo do arquivo de texto é:",more,less,tail,join,B,Network 
75,"Ao fazer login anônimo no ftp, o nome de usuário é:",users,anonymous,root,guest,B,Network 
76,"Na operação real, se você quiser entender a utilização do comando logname, você pode digitar o que para obter ajuda:",logname –man,logname/?,help logname,logname –help,C,Information security 
77,"Se o LILO estiver instalado na MBR, qual comando pode ser usado para desinstalar o LILO?",lilo –u,lilo -c,lilo –v,lilo -V,A,Operating system
78,"Ao usar o comando ls -al para visualizar arquivos e diretórios, se você quiser ver o conteúdo rolagado pela tela, você deve usar a combinação de teclas",Shift+Home,Ctrl+PgUp,Alt+PgDn,Shift+PgUp,B,Information security 
79,"Você planeja fazer backup da configuração de dispositivos de rede, qual dos seguintes é a melhor prática:",Fazer backup apenas durante a configuração inicial do dispositivo,Fazer backup apenas quando a configuração do dispositivo mudar,Fazer backup em um horário fixo todos os dias,"Entre mudanças na configuração do dispositivo e horários fixos, o que vier primeiro é feito backup",C,Application
80,mc é um editor de arquivos/compilador de programas no estilo UNIX,editor de arquivos/compilador de programas,ferramenta do Windows para configurar a rede,Navegador de diretórios/gerenciador de arquivos,ferramenta de gerenciamento do servidor Samba,D.,System architecture
81,Os nomes de arquivos Linux não podem exceder este número de caracteres em comprimento.,64,128,256,512,C,Information security 
82,"Qual algoritmo é o esquema de encriptação baseado no protocolo de encriptação de rede sem fio formulado pelo padrão IEEE802.11i (por favor, responda a esta lacuna)?",RC4,CCMP,WEP,WPA,B,Network 
83,"Em um computador com o protocolo TCP/IP instalado, quando a conexão de rede não está disponível, para testar o programa de rede escrito, qual é o endereço IP do host de destino geralmente usado?",0.0.0.0,127.0.0.0,10.0.0.1,210.225.21.255/24,B,Infrastructure
84,Um processo possui três estados:,"Estado de prontidão, Estado de execução e Estado de saída","Estado exato, Estado de incerteza e Estado aleatório","Estado de execução, Estado de prontidão e Estado de espera","Estado manual, Estado automático e Estado livre",B,Information security 
85,"Iniciar o processo em background, você deve colocar o sinal no final do comando",&,@,#,$,A,Application
86,Não faz parte do sistema de correio o,agente do usuário,servidor proxy,agente de transferência,agente de entrega,A,Application
87,"Entre os endereços IP a seguir, qual endereço IP do host pertence à rede 10.110.12.29/255.255.255.224?",10.110.12.0,10.110.12.30,10.110.12.31,10.110.12.32,B,Infrastructure
88,Qual das seguintes descrições sobre o número e endereço de endereços privados está correta:,Classe A tem 10: 10.0.0.0~10.10.0.0,Classe B tem 16: 172.0.0.0~172.15.0.0,Classe B tem 16: 169.0.0.0~169.15.0.0,Classe C tem 256: 192.168.0.0~192.168.255.0,C,Database
89,"Em um script de shell, o comando usado para ler o conteúdo de cada campo em um arquivo e atribuí-lo a uma variável de shell é",fold,join,tr,read,B,Middleware
90,Quais são os principais benefícios de segurança da segmentação de rede?,"Tornar a rede mais complexa, dificultando para os atacantes compreenderem",Isolar o tráfego de rede para reduzir o escopo de um único ataque,Aumentar a velocidade da internet,Reduzir o número de dispositivos de rede necessários,C,Application
91,"O arquivo crontab é composto por seis campos, cada campo é separado por um espaço, e a disposição é a seguinte:",MIN HOUR DAY MONTH YEAR COMMAND,MIN HOUR DAY MONTH DAYOFWEEK COMMAND, COMMAND HOUR DAY MONTH DAYOFWEEK,COMMAND YEAR MONTH DAY HOUR MIN,A,Operating system
92,"Ao usar ftp para transferência de arquivos, existem dois modos:",Word e binário,.txt e Documento do Word,.txt e Documento do Word,ASCII e Rich Text Format,D.,Operating system
93,"Se a permissão dos membros fora do grupo de um arquivo for apenas de leitura; o proprietário tiver permissão total; a permissão do grupo for de leitura e escrita, então a permissão do arquivo é",467,674,476,764,D.,Application
94,The default connection port number of the Apache server is,1024,800,80(http),8,C,Operating system
95,"O endereço IP de um host na LAN é 202.116.1.12/21, qual é a máscara de sub-rede da LAN?",255.255.255.0,255.255.252.0,255.255.248.0,255.255.240.0,C,Operating system
96,"Entre os endereços IP listados abaixo, qual opção não pode ser usada como o endereço de destino",100.10.255.255,127.0.0.1,0.0.0.0,10.0.0.1,C,Operating system
97,A combinação do uso de PHP e MySQL resolve,Lidar com questões de acesso a bancos de dados em Proxy,Lidar com acesso ilegal de Hacker no servidor WWW,Lidar com problemas de acesso a bancos de dados no servidor WWW,Lidar com problemas de acesso a bancos de dados no sistema de correio Sendmail,C,Application
98,OpenSSL é um,Software de Encriptação,sistema de correio,sistema de gerenciamento de banco de dados,linguagem de programação de script embutido,A,Network 
99,O arquivo de configuração para o servidor Samba é:,httpd.conf,inetd.conf,rc.samba,smb.conf,C,Network 
100,"Para sair do shell no modo interativo, você deve digitar",<Esc>;,^q,exit,quit,B,Network 
101,Qual comando pode ser usado para verificar o sistema de arquivos sob Linux?,ls,dd,grep,fsck,D.,Network 
102,"Se um firewall fecha as portas TCP e UDP 21, 25 e 80, qual é a opção para aplicações que podem acessar a rede",FTP,Web,SMTP,Telnet,C,Network 
103,"Em relação ao servidor DNS, a afirmação correta é:",A configuração do servidor DNS não requer a configuração do cliente,"Ao estabelecer um servidor DNS para uma determinada partição, é necessário apenas estabelecer um servidor DNS primário","O servidor DNS primário precisa iniciar o processo named, mas o servidor DNS secundário não precisa",O arquivo root.cache do servidor DNS contém informações sobre o servidor de nomes raiz,B,Network 
104,"Instalar o disco C: do Windows (hda1) no diretório /winsys do sistema de arquivos Linux, o comando é:",root@l04.edu.cn:~#mount /dev/had1 /winsys,root@l04.edu.cn:~#mount /dev/had1 /winsys,root@l04.edu.cn:~#mount /dev/had1 /winsys,root@l04.edu.cn:~#mount /dev/had1 /winsys,B,Application
105,Os sinalizadores para os tipos de arquivos de dispositivo de caractere são:,p,c,o s,l,C,Network 
106,O comando para instalar o CD-ROM (hdc) no diretório /mnt/cdrom do sistema de arquivos é:,mount /mnt/cdrom,mount /mnt/cdrom /dev/hdc,mount /dev/hdc /mnt/cdrom,mount /dev/hdc,A,Network 
107,O comando para desmontar o disco /dev/hdc é:,umount /dev/hdc,unmount /dev/hdc,umount /mnt/cdrom /dev/hdc,unmount /mnt/cdrom /dev/hdc,B,Network 
108,Qual dos seguintes identificadores não pode identificar unicamente um site Web do IIS 6.0,Endereço IP,porta de comunicação,cabeçalho do host,nome do site,A,Network 
109,O arquivo executável é carregado na memória e os tipos de vírus que podem se espalhar são:,vírus de boot,vírus de arquivo,vírus de e-mail,vírus de worm,A,Middleware
110,Os comandos que podem completar as tarefas de resolução direta e inversa do nome do host e do endereço IP são:,nslookup,arp,ifconfig,dnslook,C,Network 
111,qmail é:,protocolo para receber e-mail,Um tipo de servidor de e-mail,protocolo para enviar e-mail,fila de e-mail,D.,Middleware
112,"Na solução de recuperação de desastres e backup de aplicações web baseadas em tecnologia em nuvem, qual dos seguintes métodos pode efetivamente reduzir a taxa de ponto único de falha do sistema e tornar o programa exibir alta disponibilidade?",Fazer backup de todos os dados e aplicações em apenas uma única região,Usar estratégias de recuperação baseadas em VM automatizadas,Usar uma implantação multi-região ou multi-AZ,Realizar manutenção física regular no servidor,B,Application
113,Como verificar os serviços de inicialização no Linux?,Via a diretório /etc/init.d/,Via o comando systemctl ou service,Via o comando pidof,Via o comando ps,B,Middleware
114,"Sabe-se que um certo usuário stud1 tem um diretório de usuário de /home/stud1. O comando para exibir informações como o nome do arquivo ou diretório, o grupo de usuário, o usuário, o tamanho do arquivo, a permissão do arquivo ou diretório e o tempo de criação do arquivo de todos os arquivos no diretório atual por paginação é:",ls -al | more,ls -a -l | more,ls -al | more,ls -al | more,A,Network 
115,"Se você quiser configurar um servidor ftp anônimo, qual arquivo deve ser modificado.",/etc/gateway,/etc/ftpservers,/etc/ftpusers,/etc/inetd.conf,D.,Infrastructure
116,O processo do servidor Samba consiste em quais duas partes?,named e sendmail,smbd e nmbd,bootp e dhcpd,httpd e squid,C,Operating system
117,"Faults are any problems of the system itself or any operation that does not meet the standards in the operation of the system, which has or may cause service interruption and quality degradation. Fault characteristics include the following factors: ◇ Influence, ◇ Urgency, ◇ Priority",◇◇◇,◇◇,◇◇,◇◇◇,C,Software architecture
118,"Através da análise TCO, podemos descobrir quantas vezes o custo real de TI excede o custo de aquisição, em média, e a maioria dos custos não está relacionada à tecnologia, mas ocorre no processo contínuo de gerenciamento de serviços.",1,5,10,20,C,Network 
119,Quais são os métodos comuns de análise de requisitos?,Análise Estruturada e Análise Orientada a Objetos,Método de Análise Orientada a Objetos e Diagrama de Fluxo de Dados,Observação e Questionário,Análise Estruturada e Benchmarking,D.,Network 
120,Quais fatores devem ser incluídos nos requisitos que o sistema de especificação deve atender. ① Comprehensive ② System ③ Accurate ④ Detailed ⑤ Clear ⑥ Repeat,①②③,①②③④,①②③④⑤,①②③④⑤⑥,A,Application
121,"As principais funções de auditoria de segurança de usuário são a coleta, proteção e análise de dados de auditoria de segurança de usuário, que opção inclui inspeção, detecção de anomalias, análise de violações e análise de intrusão.",Análise de dados de auditoria de segurança do usuário,Proteção de dados de auditoria de segurança do usuário,Coleta de dados de auditoria de segurança do usuário,Coleta e análise de dados de auditoria de segurança do usuário,D.,Network 
122,Qual das opções não pertence à principal função da assinatura digital.,Garantir a integridade da transmissão de informações,Prevenir a roubo de dados durante a transmissão,Realizar a autenticação de identidade do remetente,Prevenir o comerciante de negar a assinatura da mensagem posteriormente,B,Network 
123,Quais fatores estão incluídos nas medidas de recuperação de falha de rede. ①Backbone duplo ②Tecnologia de controle de switch ③Roteador ④Middleware de comunicação,①②③④,①②③,①③,②④,C,Network 
124,"Na gestão diária, o CPU normalmente afeta o desempenho do sistema nas seguintes situações:",O CPU está operando a capacidade total,O CPU opera com 30% de eficiência,O CPU opera com 50% de eficiência,O CPU opera com 80% de eficiência,B,Information security 
125,"No plano de gerenciamento de sistemas do lado do usuário, qual opção pode fornecer o ""sistema nervoso central"" para o intrincado sistema de TI, que coleta continuamente informações relevantes de hardware, software e serviços de rede, do ponto de vista dos componentes, sistemas de negócios e da empresa como um todo? Monitor e-commerce.",Gerenciamento de Desempenho e Disponibilidade de TI,Participação do usuário no gerenciamento de TI,Gerenciamento de Segurança do Usuário Final,help desk,B,Information security 
126,Qual das seguintes afirmações sobre diagramas de fluxo de dados está incorreta:,O gráfico de fluxo de dados é hierárquico e precisa ser expandido camada por camada de cima para baixo,Os símbolos no diagrama de fluxo de dados devem ser arranjados de forma razoável e distribuídos uniformemente,O diagrama de fluxo de dados deve refletir o processo técnico e o método de processamento de dados,"No processo de desenho do diagrama de fluxo de dados, é necessário ter contato próximo com o usuário e constantemente modificá-lo",D.,Operating system
127,Que tipo de erro é o erro de chamada de subrotina encontrado no teste do sistema?,erro de função,erro de sistema,erro de dados,erro de programação,D.,Application
128,Qual é a avaliação da confiabilidade do sistema?,avaliação de destino,avaliação funcional,avaliação de desempenho,Avaliação do Efeito Econômico,D.,Operating system
129,Which option is an index indicating the number of pixels that the display has in the horizontal direction (row).,display resolution,horizontal resolution,vertical resolution,show depth,B,Application
130,Qual é a memória interna de um sistema de computador composta por?,Flash memory,ROM,memória auxiliar,memória semicondutora,C,System architecture
131,Quais são as três estruturas básicas de controle de um programa (ou algoritmo)?,"sequencial, reverso e fora de ordem","Sequência, seleção e loop","Recursão, Recursão e Loops","Sequência, encadeamento e indexação",C,Middleware
132,Qual é a avaliação da confiabilidade do sistema?,avaliação de alvo,avaliação funcional,avaliação de desempenho,Avaliação de Efeito Econômico,A,Middleware
133,Qual das seguintes opções não pertence à estrutura de hardware do sistema de informação,centralized,Ring,distributed,distributed-centralized,D.,Operating system
134,"A construção da informatização empresarial requer um grande investimento de capital, e os itens de custo são muitos e o valor é grande. No item de despesa de custo da construção de informações da empresa, que tipo de custo é o custo de troca de sistema?",Custo de aquisição de equipamento,Taxa de instalação,Despesa de P & D,Custos de operação e manutenção do sistema,A,Operating system
