id,question,A,B,C,D,answer,category
11,"Em um cenário de recuperação de desastre de um sistema, qual das seguintes opções não é primordialmente usada para reduzir a perda de dados?","Usando a arquitetura master-backup, ou seja, todos os dados e configurações do servidor master são copiados para o servidor de backups em tempo real.","Faça backup regular de dados e arquivos de configuração críticos, com backups completos disponíveis diariamente e backups incrementais horários.","Para servidores de bancos de dados, use técnicas de replicação de bancos de dados, como replicação mestre-escravo ou replicação multi-mestre, para replicar dados em servidores de backup em tempo real.","Estabeleça um processo de recuperação de desastre automatizado, incluindo etapas como recuperação de sistema, recuperação de dados e recuperação de configuração.",D,Database
12,"A arquitetura de um servidor DNS inclui componentes como servidores DNS mestre-escravo, servidores de cache DNS e roteadores de resolução de nome de domínio. Qual dos componentes é principalmente responsável por distribuir o tráfego de consultas DNS de usuários para diferentes servidores DNS, a fim de melhorar a confiabilidade e a escalabilidade da rede?",servidor DNS primário,de um servidor DNS,servidor de cache DNS,roteador de resolução de nome de domínio,D,Network 
13,"O processo de desenvolvimento de software inclui sub-processos como análise de requisitos, design geral, design detalhado, codificação, teste e manutenção. O design estrutural geral do software é concluído no sub-processo ( ).",análise de demanda,esboço de design,design detalhado,escrever código,B,Software architecture
14,"Em sua empresa, você precisa implantar um sistema distribuído. Você escolheu usar o Kubernetes para ajudar a gerenciar este sistema. Quando estiver pronto para implantar um novo microserviço, o que deve criar no Kubernetes para descrever e controlar seu microserviço?",ConfigMaps,Ingress,Implantação,Volume,C,Software architecture
15,"Quando você é engenheiro de operação e manutenção, é necessário monitorar sua arquitetura de software. Qual das seguintes ferramentas de código-fonte aberto pode fornecer funções de monitoramento e alerta tanto em hardware quanto em nível de software?",Grafana,Logstash,Prometheus,Apache Kafka,C,Software architecture
16,"Para scripting de automação, qual dos seguintes idiomas é comumente usado para automatizar a operação de dispositivos de rede?",Python,Java,C#,Swift,A,Network 
17,"Você está se preparando para fazer backup da configuração de dispositivos de rede, qual é a melhor prática:",Fazer backup apenas durante a configuração inicial do dispositivo,Fazer backup apenas quando houver alterações na configuração do dispositivo,Fazer backup em um horário fixo todo dia,"Em caso de alterações na configuração do dispositivo e horários fixos, o que for executado primeiro será backupeado",D,Network 
18,Qual são os principais benefícios de segurança da segmentação de rede?,"Tornar a rede mais complexa, dificultando o entendimento de atacantes",Isolar o tráfego de rede para reduzir o escopo de um ataque único,Aumentar a velocidade da internet,Reduzir o número de dispositivos de rede necessários,B,Network 
19,Qual comando é usado para verificar o sistema de arquivos sob Linux?,ls,dd,grep,fsck,D,Operating system
20,Como verificar os serviços de inicialização no Linux?,Pela pasta /etc/init.d/,Por meio do comando systemctl ou service,pela comando pidof,pela comando ps,B,Operating system
21,"Em gestão diária, o CPU geralmente afeta o desempenho do sistema nas situações a seguir:",O CPU está executando ao máximo de sua capacidade,O CPU executa com eficiência de 30%,O CPU executa com eficiência de 50%,O CPU executa com eficiência de 80%,A,Operating system
22,O que não inclui a razão pelo qual o Linux não pode iniciar?,Configuração incorreta do sistema de arquivos,Infecção viral,Desligamento ilegal,Falha de hardware,B,Operating system
23,Quais são as medidas abaixo erradas para otimizar o sistema Linux?,Ativar o selinux e iptables,"Esvaziar /etc/issue, remover a exibição na tela antes de se fazer login no sistema e a versão do kernel",Configurar uma fonte yum doméstica,Adicionar usuários comuns sem ser root e gerenciar através de autorizações sudo,B,Operating system
24,"A partir dos seguintes logs, qual(is) conclusão(ões) podem ser tiradas? [2022-01-01 10:00:00] INFORMAÇÃO: Login de usuário bem-sucedido, username: admin [2022-01-01 10:05:00] AVISO: Uso de memória ultrapassou o limite, executando limpeza de memória [2022-01-01 10:10:00] ERRO: Problema de corrupção no sistema de arquivos, reparando [2022-01-01 10:15:00] DEBUG: Problema detectado na conexão de rede, investigando,",O sistema possui vazamento de memória,O login falhou para o usuário admin,O sistema de arquivos foi reparado com sucesso,O sistema está processando um problema de conexão de rede,D,Information security 
25,"Em um script de shell, o comando usado para ler o conteúdo de cada campo em um arquivo e atribuí-lo a uma variável de shell é:",fold,join,tr,read,D,Application
26,Escolher a ferramenta de backup do sistema correta é uma tarefa importante para os profissionais de operações e manutenção.,Ferramenta de Backup do Windows,Time Machine,Acronis True Image,Carbon Copy Cloner,C,Middleware
27,"Quando una nova vulnerabilidade é descoberta no sistema operacional, como o pessoal de operações e manutenção deve verificar se a vulnerabilidade foi explorada?",Atualize o sistema operacional e reinicie o servidor,Execute a ferramenta de varredura de vulnerabilidade para solução de problemas,Analise os logs do sistema em busca de atividade suspeita,Instale um firewall e faça cumprir políticas de segurança de rede,C,Information security 
28,A infraestrutura de computadores não inclui qual dos seguintes?,hardware facilities,Data storage and backup facilities,software facility,Power and Electric Facilities,B,Infrastructure
29,Quais das opções abaixo não é um item de configuração comum em comutadores?,Configuração de VLAN,Configuração de protocolo de roteamento,Configuração de firewall,Configuração de hostname,C,Network 
30,"Para garantir uma proteção confiável de segurança da rede e privacidade de dados, qual das seguintes é uma das medidas de segurança recomendadas?",Utilizar senhas fracas para autenticação.,Realizar backs up de dados e sistemas regularmente.,Não instalar firewall e software antivírus.,Compartilhar dados sigilosos publicamente.,B,Information security 
31,Qual das seguintes tecnologias pode garantir a segurança da transmissão de dados?,Virtual Private Network (VPN),Autenticação de senha fraca,Rede Wi-Fi pública,Protocolo de transporte não criptografado,A,Information security 
32,Quais das seguintes medidas podem impedir que pessoal não autorizado acesse dados sensíveis?,Implantar um firewall forte,Mecanismo de autenticação inexistente,Controle de Acesso e Controle de Privilégio,Compartilhar dados sensíveis abertamente,C,Information security 
33,Qual é o primeiro passo no estabelecimento de um processo de teste automatizado?,Projetar relatórios de teste automatizados,Determinar o escopo do teste,Escolher uma ferramenta de teste automatizado,Escrever scripts de teste automatizados,B,Software architecture
34,Qual dos seguintes módulos do Python é usado para manipular expressões regulares?,os,re,sys,math,B,Application
35,"Ao realizar o backup de dados online, qual das seguintes medidas pode ajudar a garantir a segurança dos dados?",Usar múltiplas fontes de backup,Aumentar a frequência de backup,"Proteção de Dados Using Encryption (Utilizando proteção de dados por meio de criptografia, mantive a palavra em inglês por ser um termo técnico)",Comprimir dados de backup para economizar espaço,C,Information security 
36,Qual dos seguintes comandos deve ser executado para instalar o servidor Web Apache em um sistema Linux?,sudo apt-get update,sudo apt-get install apache2,sudo systemctl start apache2,sudo systemctl enable apache2,B,Operating system
37,Qual é a melhor maneira de verificar um sistema offline de hospedagem?,Encontre os agentes offline no espaço de trabalho Topologia de Auto-Monitoramento do item Enterprise Navigator,Encontre Agentes Offline no espaço de trabalho do Status de Sistemas Gerenciados do item Enterprise Navigator,"Expanda a árvore do navegador e procura sistemas gerenciados que estejam em cinza, indicando que estão offline","No espaço de trabalho do Status do Enterprise Navigator, procure a mensagem MS_Offline no visor do Log de Mensagens",B,Middleware
38,"Cenário: Um engenheiro da NetScaler está configurando o LACP (Link Aggregation Configuration Protocol) no NetScaler. O engenheiro adiciona as interfaces 10/3 e 10/4 ao LA/1 (que já contém as interfaces 10/1 e 10/2) e as configura para VLAN 500. A VLAN 100 está associada à interface 10/3, e a VLAN 200 está associada à interface 10/4. A VLAN 500 está associada ao canal LA/1. Ao executar o comando 'show interface' para exibir a interface 10/3, qual VLAN é exibida?",1,100,200,500,D,Network 
39,Qual é o tipo de exceção desse log?,exceção de hardware,anomalia de rede,exceção de aplicativo,exceção do sistema operacional,C,Middleware
40,Qual situação pode causar falha de armazenamento em hardware?,perda de cabeça do disco rígido,problema de conexão com a internet,atualização de software com falha,aquecimento excessivo da memória,A,Infrastructure
41,O que é vazamento de memória?,uso excessivo de memória,memória não pode ser alocada,Memória não é libertada corretamente após a alocação,acesso frequente à memória,C,Application
42,"Para a informação de log abaixo, Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0), qual é a resposta correta?",Anormal,Sem exceções,Incapaz de determinar se há uma exceção,Informações de log incompletas,B,Information security 
43,Qual comando pode realizar backup de arquivos de um site?,mv /var/log/access.log /var/log/archive/$date/access.log,mysqldump -u root -pPASSWORD dbname > /var/backup/$date/dbname.sql,tar -czvf /var/backup/$date/website.tar.gz /var/www/html/,find /var/backup/* -mtime +7 -exec rm -rf {} \;,C,Application
44,Quais técnicas podem ser empregadas para obter consistência e sincronização de dados em clusters de servidores?,Cluster de banco de dados/particionamento,comprimição de dados,enviar email,Identificação de Imagem,A,Middleware
45,Qual das seguintes é uma solução de armazenamento de dados adequada para armazenamento em grande escala?,MySQL,HDFS,Microsoft Excel,Arquivo Txt,B,Database
46,"Em um sistema distribuído, se um serviço falhar, você supõe que possa haver um problema com o próprio serviço ou outros componentes em que ele depende. Qual das práticas a seguir te ajudará melhor a determinar a causa raiz da falha?",Observe o uso de CPU e memória do sistema,Reinicie aleatoriamente todos os outros serviços,Use ferramentas de rastreamento distribuídas para visualizar a cadeia de chamadas entre os serviços,Ignore o log de erros e modifique o código diretamente,C,System architecture
47,"Em uma arquitetura de microsserviços, você deseja otimizar o desempenho da comunicação entre esses serviçios. Qual das seguintes estratégias atingiria melhor este objetivo?",Implantar todos os serviçios no mesmo servidor,Substituir toda a comunicação assíncrona por comunicação síncrona,Otimizar a interface do serviço e reduzir a quantidade de transmissão de dados,Ajustar aleatoriamente a ordem de implantação de serviçios,C,Software architecture
48,"Em suivinte log do Zookeeper: ""2015-07-29 19:04:29,079 - WARN [SendWorker:188978561024:QuorumCnxManager$SendWorker@679] - Interrupted while waiting for message on queue"", qual conclusão se tira?",A thread de envio foi interrompida enquanto esperava por uma mensagem na fila. Isto pode ser devido ao esgotamento de recursos de sistema ou problemas de rede. É necessário verificar o status do cluster Zookeeper.,"A thread de envio foi interrompida enquanto esperava por uma mensagem na fila, mas isto é normal e não é necessária nenhuma ação.","Este aviso significa que a conexão do cliente Zookeeper foi interrompida, e precisa ser verificada a conexão de rede do cliente.",Este aviso significa que o Zookeeper está executando uma eleição de liderança,A,Middleware
49,"Em um script de shell do Bash, você está escrevendo um loop que requer a capacidade de iterar sobre cada elemento em um array denominado 'files' e executar a mesma operação em cada elemento. Qual das opções a seguir é a sintaxe de loop correta?",for file in ${files}; do echo $file; done,for file in ${files[@]}; do echo $file; done,for $file in ${files[@]}; do echo $file; done,for ${file} in ${files[@]}; do echo $file; done,B,Application
50,"Você é responsável pelo mantimento de um site de comercialização baseado na web utilizando a arquitetura MVC, e você está planejando fazer um backup da configuração do site. Qual das opções a seguir é a estratégia de backup correta?",Fazer backup de todo o histórico de navegação dos usuários,Fazer backup dos arquivos de configuração e banco de dados do site,Fazer backup do código-fonte do site,Fazer backup apenas dos conteúdos do carrinho de compras,B,Application
51,"No sistema Linux, qual é a subpasta usada para armazenar os arquivos de configuração necessários ao sistema?",/etc,/var,/root,/home,A,Operating system
52,Qual de descrições a seguir é correta sobre contêineres e imagens Docker?,"A imagem é um instantâneo do sistema de arquivos estático, e o contêiner é uma instância da execução da imagem",Contêineres e imagens são idênticos e podem ser usados intercambiavelmente,Tanto imagens quanto contêineres podem persistir dados,"Contêineres são usados para construir imagens, e imagens são usadas para executar aplicações",A,Operating system
53,Qual das opções a seguir está correta ao se configurar uma rede em um contêiner Docker?,Use o comando ADD no Dockerfile para adicionar arquivos de configuração de rede,"Crie e configure uma rede usando os comandos de rede do Docker, como docker network create",Use o comando ifconfig ou ip do Linux para configurar a rede diretamente dentro do contêiner,Modifique o arquivo /etc/hosts do contêiner enquanto o contêiner estiver em execução,B,Middleware
54,"Suponha que você queira utilizar o Prometheus para monitorar o cluster do Kubernetes, qual das etapas a seguir está correta?",Adicione o endereço IP do nó do Kubernetes na configuração do arquivo do Prometheus,Instale uma instância do Prometheus separada em cada nó do Kubernetes,Modifique o código-fonte do Kubernetes de forma que possa ser monitorado pelo Prometheus,Implante e gerencie o Prometheus em clusters do Kubernetes usando o Prometheus Operator,D,Middleware
55,"When running the docker command, if you encounter the error message 'Got permission denied while trying to connect to the Docker daemon socket at unix:///var/run/docker.sock: connect: permission denied', which of the following is the correct solution?",Delete the /var/run/docker.sock file and restart docker,Add the current user to the docker user group,Prefix the docker command with 'sudo',Reinstall docker,B,Middleware
56,"Supondo que você esteja monitorando um servidor que executa o Nginx e você obtém as seguintes métricas de desempenho: 'Concurrent Connections: 800, Average Response Time: 400ms, CPU Usage: 70%, Memory Usage: 60%, Disk I/O: 40MB/ s'. Com base nestas métricas, qual dos seguintes sugestões de otimização acha que é a mais apropriada?",Reduzir o número de conexões simultâneas,Aumentar o número de núcleos do CPU,Aumentar a largura de banda do Disck I/O,Otimizar o aplicativo para reduzir o tempo de resposta,D,Middleware
57,"Supondo que você esteja escrevendo uma expressão de parse Grok para a seguinte mensagem de log: <2021-03-16 01:16:32,251 [myid:1] - WARN [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:18095:NIOServerCnxn@383] - Exception causing close of session 0x0: ZooKeeperServer not running>. Qual é a expressão Grok correta?",\<%{TIMESTAMP_ISO8601:timestamp} \[myid:%{INT:id}\] - %{LOGLEVEL:loglevel} \[NIOServerCxn\.Factory:%{IP:ip}/%{IP:ip}:%{INT: port}:NIOServerCnxn@%{INT:line}\] - %{GREEDYDATA:message},\<%{TIMESTAMP_ISO8601:timestamp} \[myid:%{INT:id}\] - %{NONNEGINT:loglevel} \[NIOServerCxn\.Factory:%{IP:ip}/%{IP:ip}:%{INT: port}:NIOServerCnxn@%{INT:line}\] - %{GREEDYDATA:message},\<%{TIMESTAMP_ISO8601:timestamp} \[myid:%{INT:id}\] - %{LOGLEVEL:loglevel} \[NIOServerCxn\.Factory:%{IPV6:ip}/%{IPV6:ip}:%{INT: port}:NIOServerCnxn@%{INT:line}\] - %{GREEDYDATA:message},\<%{TIMESTAMP_ISO8601:timestamp} \[myid:%{INT:id}\] - %{LOGLEVEL:loglevel} \[NIOServerCxn\.Factory:%{URI:url}:NIOServerCnxn@%{INT:line}\] - %{DATA:message},A,Information security 
58,"Em scripts de automação de middleware, os métodos de conexão comuns são:",SSH,FTP,HTTP,Telnet,A,Middleware
59,"Você é responsável pelo sistema de middleware de uma empresa, que inclui Nginx e Tomcat, em execução em 4 servidores, com a mesma configuração e implantação em todos eles. Desses servidores, 2 estão localizados no quarto de computadores A e 2 estão localizados no quarto de computadores B. Agora, você precisa projetar uma solução de recuperação de desastres para garantir a alta disponibilidade e a segurança de dados do sistema de middleware. Qual das seguintes estratégias é razoável?","Configurar um servidor em sala de máquinas A e sala de máquinas B como servidor de backup, e iniciar apenas quando o servidor principal falhar","Usando a tecnologia de balanceamento de carga, configurar todos os 4 servidores como um cluster, e habilitar a sincronização de dados ao mesmo tempo","Selecionar um servidor em sala de máquinas A e sala de máquinas B para backup em caliente duplo. Quando uma das máquinas falhar, ele imediatamente Trocar para o outro","Configurar um servidor principal, escolher um em sala de máquinas A e um em sala de máquinas B como servidores de backup, e trocar apenas quando o servidor principal falhar",B,Middleware
60,Seu aplicativo deve ser executado em um ambiente containerizado e interagir com diversos serviços. Qual dos cenários a seguir é um approaches razoável para descoberta e registro de serviço?,Hardcode os endereços IP de todos os serviços no arquivo /etc/hosts de cada contêiner,"Utilize um serviço DNS para descoberta de serviço, registre manualmente um registro DNS para cada serviço","Utilize o Kubernetes como um agendador de container, combinado com suas capacidades integradas de descoberta e balanceamento de carga de serviço",Utilize um script de shell para periodicamente varrer a rede e gerar dinamicamente um arquivo de configuração contendo todos os endereços de serviço,C,Middleware
61,Qual dos seguintes enunciados é verdadeiro sobre índices em bancos de dados SQL?,"Índices podem acelerar consultas, mas diminuir o desempenho de gravações","Índices podem melhorar a velocidade de gravações, mas diminuir o desempenho de consultas",Índices podem melhorar a velocidade tanto de consultas quanto de gravações,Índices não melhoram a velocidade de consultas ou gravações,A,Database
62,Qual dos seguintes comandos está correto quando você precisa criar um usuário em um banco de dados MySQL?,CREATE USER 'username'@'localhost' IDENTIFIED BY 'password';,ADD USER 'username'@'localhost' IDENTIFIED BY 'password';,NEW USER 'username'@'localhost' IDENTIFIED BY 'password';,USER 'username'@'localhost' IDENTIFIED BY 'password';,A,Database
63,"Supondo que você queira utilizar o Prometeus para monitorar um banco de dados MySQL, qual das etapas abaixo está correta?",Adicione o endereço IP do nó MySQL no arquivo de configuração do Prometeus,Instale uma instância do Prometeus separada em cada nó MySQL,Modifique o código-fonte do MySQL para que ele possa ser monitorado pelo Prometeus,Exporte métricas do Prometeus nos nós MySQL usando mysqld_exporter,D,Database
64,"Ao executar o comando mysql e receber o erro ""ERROR 1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)"", qual dos seguintes procedimentos está correto?",Exclua o diretório de dados do MySQL e reinicie o MySQL,Adicione o usuário atual ao grupo mysql de usuários,Adicione sudo antes do comando mysql,Verifique e confirme se a senha do usuário root está correta,D,Database
65,"Supondo que você esteja monitorando um servidor que executa o MySQL e você obtém as seguintes métricas de desempenho: 'Concurrent Connections: 800, Average Response Time: 400ms, CPU Usage: 70%, Memory Usage: 60%, Disk I/O: 40MB/ s'. Com base nestas métricas, qual dos seguintes sugestões de otimização você acha que é a mais apropriada?",Reduza o número de conexões simultâneas,Aumente o número de núcleos do CPU,Aumente a largura de banda do disco I/O,Otimize as consultas SQL para reduzir o tempo de resposta,D,Database
66,"Supondo que você esteja escrevendo uma regra de parse de log para a seguinte mensagem de log: ""2021-03-16 01:16:32,251 [Note] Access denied for user 'root'@'localhost' (using password: YES)"". Qual das seguintes regras de parse de log está correta?","\{""TIMESTAMP_ISO8601"":""\\\d{4}-\\\d{2}-\\\d{2}""\,""SPACE"":\s,""LOG_LEVEL"":""\[%{WORD:log_level}\]"",""LOG_MESSAGE"":""%{GREEDYDATA:log_message}""\}","\{""TIMESTAMP_ISO8601"":""\\\d{4}-\\\d{2}-\\\d{2}""\,""SPACE"":\s,""LOG_LEVEL"":""%{WORD:log_level}"",""LOG_MESSAGE"":""%{GREEDYDATA:log_message}""\}","\{""TIMESTAMP_ISO8601"":""\\\d{4}-\\\d{2}-\\\d{2}""\,""SPACE"":"","",""LOG_LEVEL"":""%{WORD:log_level}"",""LOG_MESSAGE"":""%{WORD:log_message}""\}","\{""TIMESTAMP_ISO8601"":""\\\d{4}-\\\d{2}-\\\d{2}""\,""SPACE"":\s,""LOG_LEVEL"":""%{WORD:log_level}"",""LOG_MESSAGE"":""%{WORD:log_message}""\}",A,Information security 
67,Suponha que você precise escrever um script para limpar periodicamente o log de consultas lentas do servidor MySQL. Qual dos trechos de script Bash a seguir implementa corretamente esta funcionalidade?,rm -f /var/log/mysql/mysql-slow.log,"echo """" > /var/log/mysql/mysql-slow.log",rm /var/log/mysql/mysql-slow.log; service mysql restart,> /var/log/mysql/mysql-slow.log,B,Database
68,"Você é responsável pelo sistema de banco de dados de uma empresa, que inclui MySQL e Redis, em 4 servidores, cada um com a mesma configuração e implantação. Desses, 2 servidores estão localizados no quarto de computadores A, e 2 servidores estão localizados no quarto de computadores B. Agora, é necessário projetar um plano de recuperação de desastres para garantir alta disponibilidade e segurança de dados do sistema de banco de dados. Qual das seguintes estratégias é razoável?","Configurar um servidor em sala de computadores A e sala de computadores B como servidor de backup, e só iniciar quando o servidor principal falhar","Usando a tecnologia de balanceamento de carga, configure todos os 4 servidores como um cluster e enable data synchronization simultaneamente","Selecione um servidor em sala de computadores A e sala de computadores B para backup em caliente dupla. Quando uma das máquinas falhar, ele imediatamente alternar para o outro","Configurar um servidor principal, escolha um em sala de computadores A e um em sala de computadores B como servidores de backup, e alternar apenas quando o servidor principal falhar",B,Infrastructure
69,Seu aplicativo deve ser executado de maneira containerizada e interagir com vários serviços de banco de dados diferentes. Qual das opções a seguir é um aproximamento razoável para descoberta e registro de serviços?,Hardcodear os endereços IP de todos os serviços em cada arquivo /etc/hosts de container,"Utilizar um serviço DNS para descoberta de serviços, registrar manualmente um registro DNS para cada serviço","Utilizar Kubernetes como um agendador de containers, combinado com suas capacidades internas de descoberta e balanceamento de carga de serviços",Utilizar um script de shell para verificar periodicamente a rede e gerar dinamicamente um arquivo de configuração contendo todos os endereços do serviço,C,Application
70,"Em Redes de Computadores, qual dos seguintes protocolos é utilizado para encaminhamento?",HTTP,FTP,OSPF,SMTP,C,Network 
71,"Ao implantar equipamentos de rede, qual dos seguintes equipamentos é usado para dividir a rede em múltiplos domínios de difusão?",switch,roteador,firewall,repetidor,B,Network 
72,"Monitoramento e alarmes de rede:Em monitoramento de rede, qual das seguintes ferramentas pode ser usada para monitorar o tráfego de rede em tempo real?",Ping,Traceroute,Wireshark,Netstat,C,Network 
73,Análise e diagnóstico de falhas de rede: Qual dos comandos a seguir pode ser usado para exibir o status da conexão de rede?,ipconfig,netstat,nslookup,traceroute,B,Network 
74,"O&M de desempenho de redes: ao otimizar o desempenho de uma rede, qual das seguintes métodos pode ser usado para reduzir o congestionamento de rede?",aumentar a largura de banda,usar QoS,substituir roteador,substituir switch,B,Network 
75,"Análise de logs de rede: Quando se analisam logs de rede, qual dos seguintes ferramentas pode ser usada para coletar e analisar logs de rede?",Wireshark,Syslog,SNMP,NetFlow,B,Network 
76,"No campo de segurança da informação, qual das áreas abaixo trata principalmente da avaliação e gestão de riscos de segurança da informação, desenvolvimento de estratégias e medidas para mitigar ameaças e danos potenciais?",Proteção contra Malware,Proteção de Dados e Criptografia,Gestão de Riscos,Engenharia Social,C,Information security 
77,"Para garantir a segurança do sistema, qual das seguintes comandos Linux é utilizado para alterar as permissões de um arquivo, garantindo que apenas o proprietário do arquivo possa ler, gravar e executar o arquivo, enquanto outros usuários apenas podem ler o arquivo?",chmod 700 filename,chown user:group filename,chgrp groupname filename,ls -l filename,A,Operating system
78,"Em tarefas de monitoramento e alarmes na área de segurança da informação, qual das tarefas a seguir pode ajudar os profissionais de operações e manutenção a descobrir vulnerabilidades de segurança e ataques potenciais a tempo?",Configurar regras de firewall de rede,Analisar logs do sistema,Atualizar patches de sistemas operacionais,Configurar listas de controle de acesso (ACLs),B,Information security 
79,"Em uma tarefa de análise e diagnóstico de falhas, quando você tentar acessar um website, a seguinte complexa mensagem de erro aparece: HTTP Error 500 - Internal Server Error: O servidor encontrou uma condição inesperada que o impediu de atender à solicitação. Detalhes do Erro: - Tipo de Exceção: NullPointerException - Mensagem de Exceção: Valor nulo encontrado no chamado de método. - Arquivo: /var/www/html/index.php - Linha: 42 Qual é a causa mais provável desse problema?",O espaço em disco do servidor do website está cheio.,A conexão com o banco de dados do website falhou.,Existe uma exceção de ponteiro nulo no código do website.,Ocorreu um erro na resolução de nome de domínio do website.,C,Application
80,"Supondo que você esteja otimizando o desempenho de um sistema altamente concorrente, qual das medidas abaixo é mais propensa a aumentar o throughput do sistema?",Aumente o número de núcleos de processador no servidor,Proteger dados de comunicação com algoritmos de criptografia mais complexos,Aumente a capacidade de memória do sistema,Use cache distribuída para reduzir os tempos de acesso ao banco de dados,D,System architecture
81,Quais das seguintes entradas de log podem indicar que o sistema foi atacado por malware?,"2023-06-25 15:20:10 - INFO - Autenticação de usuário bem-sucedida: usuário=admin, IP=192.168.1.100",2023-06-25 15:22:45 - ERROR - Falha na conexão do banco de dados: Tempo expirado,2023-06-25 15:25:30 - WARNING - Tentativa de acesso não autorizado: IP=10.0.2.53,2023-06-25 15:30:05 - INFO - Atualização do sistema concluída com sucesso,C,Information security 
